JH,SJ,YZB,LY,DYM,CC1,CC2,YCYE,CCCD,RCY,YCY
北2-2-044,199807,6924548,7.4,94,3,6,867,28.1679,48.17,15.34
北2-2-044,199808,6924548,7.4,94,3,6,1472.2,28.2478,47.49,15.11
北2-2-044,199809,6924548,7.4,94,3,6,1401.6,28.3283,46.72,17.13
北2-2-044,199810,6924548,7.4,94,3,6,909.6,28.4113,29.34,10.47
北2-2-044,199811,6924548,7.4,94,3,6,503.8,28.4923,16.79,6.99
北2-2-044,199812,6924548,7.4,94,3,6,459.2,28.58,14.81,5.53
北2-2-044,199901,6924548,7.4,94,3,6,420.4,28.6678,14.5,5.12
北2-2-044,199902,6924548,5.7,306,3,6,372.2,28.7464,13.29,4.47
北2-2-044,199903,6924548,5.7,306,3,6,407.5,28.8355,13.15,4.49
北2-2-044,199904,6924548,5.7,306,3,6,433.4,28.9214,14.45,4.23
北2-2-044,199905,6924548,5.7,306,3,6,411.5,29.0103,13.27,3.27
北2-2-044,199906,6924548,7.9,50,3,6,397,29.0904,13.23,3.04
北2-2-044,199907,6924548,7.9,50,3,6,385.1,29.1742,12.84,2.45
北2-2-044,199908,6924548,8.6,50,3,6,424.6,29.2605,13.7,2.92
北2-2-044,199909,6924548,8.6,50,3,6,297.3,29.345,17.49,2.44
北2-2-044,199910,6924548,8.6,50,3,6,631,29.432,20.35,3.91
北2-2-044,199911,6924548,3.5,760,3,6,483.8,29.5126,16.13,4.27
北2-2-044,199912,6924548,3.5,760,3,6,442.8,29.5954,14.28,2.91
北2-2-044,200001,6924548,3.5,760,3,6,462.6,29.6824,14.92,1.48
北2-2-044,200002,6924548,3.5,760,3,6,447.8,29.7659,15.44,1.87
北2-2-044,200003,6924548,3.5,760,3,6,426.4,29.8558,14.7,2.88
北2-2-044,200004,6924548,7.8,760,3,6,380.9,29.9355,14.11,2.87
北2-2-044,200005,6924548,8.1,760,3,6,372.5,30.0146,12.02,1.42
北2-2-044,200006,6924548,8.1,760,3,6,240.1,30.0892,8,1.54
北2-2-044,200007,6924548,7.8,760,3,6,126.7,30.1717,4.09,0.99
北2-2-044,200008,6924548,7.8,760,3,6,115.6,30.2567,4.13,1.03
北2-2-044,200009,6924548,8.09,760,3,6,102.5,30.3372,3.94,0.97
北2-2-044,200010,6924548,7.77,760,0,0,0,30.4148,0,0
北2-2-044,200011,6924548,7.77,760,0,0,0,30.4887,0,0
北2-2-044,200012,6924548,7.77,760,3,6,438,30.5709,36.5,9.33
北2-2-044,200101,6924548,7.77,760,3,6,1064.8,30.6552,34.35,8.62
北2-2-044,200102,6924548,7.77,760,3,6,828.2,30.7318,29.58,6.41
北2-2-044,200103,6924548,7.77,760,3,6,821,30.8168,26.48,3.55
北2-2-044,200104,6924548,4.4,632,3,6,678,30.899,27.12,5.76
北2-2-044,200105,6924548,4.39,586,3,6,686.7,30.9833,22.15,4.45
北2-2-044,200106,6924548,4.52,582,3,6,472.4,31.0614,16.29,3.71
北2-2-044,200107,6924548,4.52,582,3,6,512.3,31.1402,16.53,2.65
北2-2-044,200108,6924548,4.52,582,3,6,432.1,31.2193,14.9,2.1
北2-2-044,200109,6924548,4.52,582,3,6,475.8,31.2938,15.86,2.05
北2-2-044,200110,6924548,4.52,582,3,6,385.2,31.3695,12.43,1.71
北2-2-044,200111,6924548,4.52,582,3,6,241,31.4427,8.03,0.94
北2-2-044,200112,6924548,4.52,582,3,6,202.5,31.5226,6.53,0.7
北2-2-044,200201,6924548,4.52,582,3,6,192.2,31.5999,6.2,0.7
北2-2-044,200202,6924548,4.52,582,3,6,198.4,31.6671,7.09,0.04
北2-2-044,200203,6924548,4.52,582,3,6,972.5,31.741,38.9,6.14
北2-2-044,200204,6924548,4.52,582,3,6,857.9,31.818,28.6,5.59
北2-2-044,200205,6924548,5,582,3,6,602.9,31.8979,19.45,3.84
北2-2-044,200206,6924548,5,582,3,6,771.8,31.9814,25.73,6.68
北2-2-044,200207,6924548,5,582,3,6,660.1,32.0605,26.4,4.46
北2-2-044,200208,6924548,5,582,3,6,905.5,32.1397,29.21,5.77
北2-2-044,200209,6924548,5,582,3,6,655.7,32.216,21.86,4.2
北2-2-044,200210,6924548,3.76,711.8,3,6,646.7,32.2933,20.86,4.39
北2-2-044,200211,6924548,3.95,726.5,3,6,578.2,32.3649,19.27,4.18
北2-2-044,200212,6924548,3.51,679.2,3,6,560,32.4428,18.06,2.04
北2-2-044,200301,6924548,3.97,729.8,3,6,471.4,32.5204,15.21,2.77
北2-2-044,200302,6924548,3.76,718.8,3,6,424.3,32.5883,15.15,3.23
北2-2-044,200303,6924548,3.76,718.8,3,6,329.3,32.6616,13.72,2.21
北2-2-044,200304,6924548,4.48,644.4,3,6,396.8,32.7336,16.53,2.47
北2-2-044,200305,6924548,4,709,3,6,387.9,32.8094,19.4,3.23
北2-2-044,200306,6924548,4.07,673,3,6,535.6,32.8816,19.13,4.28
北2-2-044,200307,6924548,4.07,673,3,6,585.7,32.9529,18.89,4.13
北2-2-044,200308,6924548,4.07,673,3,6,640.6,33.0266,21.35,4.45
北2-2-044,200309,6924548,4.07,673,3,6,505.5,33.0973,16.85,3.41
北2-2-044,200310,6924548,4.07,673,3,6,557.5,33.1694,17.98,3.37
北2-2-044,200311,6924548,4.07,673,3,6,524.5,33.2366,17.48,3.07
北2-2-044,200312,6924548,4.07,673,3,6,532.9,33.3057,17.19,3.36
