jh,rq,real,predict,jdwc,xdwc,mpe
喇10-18,1986-07-01,76.50712903881325,78.04154,1.5344130144094095,0.020055817460239267,2.0055817460239265
喇10-18,1986-08-01,75.60141678520627,78.103424,2.5020072870593566,0.03309471427192818,3.309471427192818
喇10-18,1986-09-01,78.63086811623653,78.28763,0.3432399424084025,0.004365206065142332,-0.43652060651423313
喇10-18,1986-10-01,73.12788538914855,78.18818,5.060293626964736,0.06919786617699236,6.919786617699236
喇10-18,1986-11-01,79.25549725665515,78.29199,0.963505069155147,0.01215694939159871,-1.215694939159871
喇10-18,1986-12-01,79.90094736842104,78.08296,1.817985332288231,0.022752988445876008,-2.275298844587601
喇10-18,1987-01-01,77.26501239585451,78.00617,0.7411597843212689,0.009592437266741891,0.9592437266741891
喇10-18,1987-02-01,73.19034830319042,78.070404,4.880055749543956,0.06667621978417654,6.667621978417654
喇10-18,1987-03-01,78.32271774029668,78.59779,0.27507583880488085,0.0035120824039454337,0.35120824039454335
喇10-18,1987-04-01,118.41349806949806,78.38335,40.030151511880874,0.33805395638584024,-33.805395638584024
喇10-18,1987-05-01,84.66894980694981,78.05699,6.611958229801374,0.07809188899681675,-7.809188899681676
喇10-18,1987-06-01,78.8245031497663,76.289734,2.5347692630475507,0.03215712325178247,-3.2157123251782473
喇10-18,1987-07-01,82.04758951432636,77.09051,4.957082007002143,0.06041715590116861,-6.041715590116861
喇10-18,1987-08-01,80.33402357244464,77.15431,3.1797114386555734,0.039581130102217935,-3.9581130102217936
喇10-18,1987-09-01,76.04906766917294,77.76271,1.7136429021161206,0.022533384755889105,2.2533384755889103
喇10-18,1987-10-01,74.82687665108718,77.86081,3.0339326750846993,0.04054602852437272,4.054602852437272
喇10-18,1987-11-01,76.83401828896565,77.93844,1.104420126561692,0.0143741034395477,1.4374103439547699
喇10-18,1987-12-01,73.45269254216623,78.0418,4.589108910470486,0.06247706859535562,6.247706859535562
喇10-18,1988-01-01,73.82747002641739,77.922104,4.09463385541855,0.055462199286436115,5.546219928643612
喇10-18,1988-02-01,76.92146636862427,78.603424,1.681957703641359,0.021865907958398177,2.186590795839818
喇10-18,1988-03-01,77.79802926234505,78.55521,0.7571770364830712,0.009732599188724588,0.9732599188724588
喇10-18,1988-04-01,77.85008169071327,77.756195,0.09388662235389234,0.0012059925990429894,-0.12059925990429894
喇10-18,1988-05-01,77.40867709815079,76.88599,0.5226907700257897,0.0067523537363006585,-0.6752353736300658
喇10-18,1988-06-01,82.0309327372485,77.0128,5.018130613225068,0.06117363835540592,-6.117363835540592
喇10-18,1988-07-01,85.34354927860191,77.46652,7.8770270618050375,0.09229786115516098,-9.229786115516097
