JH,SJ,YZB,LY,DYM,CC1,CC2,YCYE,CCCD,RCY,RCYE,HSL,YCY
北2-2-042,199404,6924670,5.4,538,3,6,947.5,22.9292,6.81,31.58,78.45,6.81
北2-2-042,199405,6924670,6.8,383,3,6,957.1,23.0503,5.56,30.87,81.98,5.56
北2-2-042,199406,6924670,7.5,257,3,6,1363.4,23.1689,8.41,45.45,81.49,8.41
北2-2-042,199407,6924670,5.3,647,3,6,1524,23.2953,10.77,49.16,78.08,10.77
北2-2-042,199408,6924670,5.8,484,3,6,1404.4,23.4164,7.48,50.16,85.09,7.48
北2-2-042,199409,6924670,5.6,517,3,6,1629,23.5354,12.12,54.3,77.67,12.12
北2-2-042,199410,6924670,5.8,404,3,6,1758.3,23.6607,12.99,56.72,77.09,12.99
北2-2-042,199411,6924670,5.7,459,3,6,1697.2,23.7818,9.43,56.57,83.33,9.43
北2-2-042,199412,6924670,6,455,3,6,1681.3,23.9029,7.27,54.24,86.6,7.27
北2-2-042,199501,6924670,4.6,694,3,6,1636.7,24.0206,7.78,52.8,85.26,7.78
北2-2-042,199502,6924670,5.2,692,3,6,1386,24.1289,6.95,49.5,85.97,6.95
北2-2-042,199503,6924670,4.4,741,3,6,1315,24.2465,6.26,45.34,86.2,6.26
北2-2-042,199504,6924670,4.8,652,3,6,1187.7,24.3586,3.78,39.59,90.46,3.78
北2-2-044,199807,6924548,7.4,94,3,6,867,28.1679,15.34,48.17,68.14,15.34
北2-2-044,199808,6924548,7.4,94,3,6,1472.2,28.2478,15.11,47.49,68.19,15.11
北2-2-044,199809,6924548,7.4,94,3,6,1401.6,28.3283,17.13,46.72,63.33,17.13
北2-2-044,199810,6924548,7.4,94,3,6,909.6,28.4113,10.47,29.34,64.31,10.47
北2-2-044,199811,6924548,7.4,94,3,6,503.8,28.4923,6.99,16.79,58.4,6.99
北2-2-044,199812,6924548,7.4,94,3,6,459.2,28.58,5.53,14.81,62.67,5.53
北2-2-044,199901,6924548,7.4,94,3,6,420.4,28.6678,5.12,14.5,64.68,5.12
北2-2-044,199902,6924548,5.7,306,3,6,372.2,28.7464,4.47,13.29,66.36,4.47
北2-2-044,199903,6924548,5.7,306,3,6,407.5,28.8355,4.49,13.15,65.82,4.49
北2-2-044,199904,6924548,5.7,306,3,6,433.4,28.9214,4.23,14.45,70.72,4.23
