jh,rq,real,predict,jdwc,xdwc,mpe
喇10-2102,1998-10-01,74.25131246954356,75.72575,1.474441314636124,0.019857444476027424,1.9857444476027424
喇10-2102,1998-11-01,78.71996426444312,76.91313,1.8068325505759333,0.022952659690066175,-2.2952659690066173
喇10-203,1982-12-01,74.32620607504467,74.86119,0.534984720853771,0.00719779400974153,0.719779400974153
喇10-203,1983-01-01,77.06398343169636,76.52672,0.5372652920479197,0.006971678183805678,-0.6971678183805678
喇10-203,1983-02-01,73.49405490281012,76.849236,3.3551806318578485,0.04565240870564021,4.565240870564021
喇10-203,1983-03-01,80.07637067518544,77.40012,2.676247078994038,0.033421183508050394,-3.3421183508050394
喇10-203,1983-04-01,73.7270572310358,76.225105,2.4980480546087307,0.033882378443244904,3.3882378443244905
喇10-203,1983-05-01,80.86691428880827,77.405624,3.461289899159837,0.042802299674724556,-4.280229967472455
喇10-203,1983-06-01,73.01972873463643,75.845505,2.825776026105757,0.038698802023423136,3.869880202342314
喇10-203,1983-07-01,79.0278601981699,77.68054,1.347318205982404,0.017048648446305836,-1.7048648446305836
喇10-203,1983-08-01,77.5299880881477,76.53219,0.99779967262036,0.012869854584343697,-1.2869854584343696
喇10-203,1983-09-01,73.39419676214197,75.281075,1.8868777617838077,0.0257088141164465,2.5708814116446503
喇10-203,1983-10-01,78.32053170177053,76.58306,1.7374704835088153,0.02218409969591074,-2.218409969591074
喇10-203,1983-11-01,75.73254155612106,76.05966,0.3271203091133117,0.004319415437429913,0.43194154374299126
喇10-203,1983-12-01,75.34975201689316,75.70356,0.3538078585951183,0.004695541114930223,0.4695541114930223
喇10-203,1984-01-01,74.70899561427257,77.01405,2.3050577304539956,0.030853817689574622,3.085381768957462
喇10-203,1984-02-01,74.2429909578212,77.75984,3.5168509611241063,0.047369467686479566,4.7369467686479565
喇10-203,1984-03-01,84.761381774866,77.85612,6.905264526330839,0.08146710662022777,-8.146710662022777
喇10-203,1984-04-01,71.61339325356002,73.87547,2.262079768900918,0.03158738423260605,3.158738423260605
喇10-203,1984-05-01,81.79060208998864,78.65574,3.1348632594222323,0.0383279151799513,-3.83279151799513
喇10-203,1984-06-01,76.81433808002599,76.09354,0.7208017030728655,0.009383686966382847,-0.9383686966382847
喇10-203,1984-07-01,75.34975201689316,75.868126,0.5183738986341808,0.006879570068365495,0.6879570068365495
喇10-203,1984-08-01,74.22634793437652,77.161575,2.9352273830062927,0.03954427861116548,3.954427861116548
喇10-203,1984-09-01,80.31769451513345,78.71985,1.5978458823209536,0.019894070565233762,-1.9894070565233761
喇10-203,1984-10-01,76.3400119118523,77.10402,0.7640072531867617,0.010007953025589513,1.0007953025589513
喇10-203,1984-11-01,78.67835670583138,76.08122,2.597134171651689,0.033009512150362415,-3.3009512150362417
喇10-203,1984-12-01,74.39277816882344,74.74866,0.3558790577390596,0.004783785019178133,0.4783785019178133
喇10-203,1985-01-01,72.83665547674481,76.41616,3.5795051067512844,0.049144281589015903,4.914428158901591
喇10-203,1985-02-01,78.12913693215658,77.970665,0.1584719541292401,0.002028333607049175,-0.2028333607049175
喇10-203,1985-03-01,77.20544913097623,76.686554,0.5188951758981091,0.006720965705643682,-0.6720965705643682
喇10-203,1985-04-01,77.5299880881477,76.09826,1.431729115979735,0.018466778485144754,-1.8466778485144755
喇10-203,1985-05-01,73.06965780497049,75.56918,2.4995255446388853,0.034207434655166236,3.4207434655166233
喇10-203,1985-06-01,77.17216308408685,77.995125,0.8229617328076841,0.010663971306738991,1.066397130673899
喇10-203,1985-07-01,78.5868200768856,77.32261,1.264211129131695,0.016086808550019597,-1.6086808550019598
喇10-203,1985-08-01,79.776796253181,76.40415,3.372644336677098,0.042276006245896565,-4.227600624589656
喇10-203,1985-09-01,76.15693865396068,75.570045,0.5868931827692734,0.007706365212971319,-0.7706365212971319
